시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
E10,인천광역시교육청,강화군,교습소,3000014951,미술공간미술교습소,20180822,20180822,개원,        ,99991231,72,9,예능(대),예능(중),초등1,미술,"초등1:70000, 중등1:100000, 초등2:120000, 초등3:150000, 초등4:180000, 초등5:200000, 중등2:200000, 중등3:250000, 고등취미:200000, 입시:500000",Y,N,인천광역시 강화군 강화읍 북문길 3,", 2층일부 (강화읍, 청운서림)",23032,032-934-1142,20260308
E10,인천광역시교육청,강화군,교습소,3000024127,블루아트미술교습소,20250822,20250822,개원,        ,        ,0,8,예능(대),,,, ,Y, ,인천광역시 강화군 강화읍 강화대로248번길 23,3층일부,23025,,20260201
E10,인천광역시교육청,강화군,교습소,3000014419,수리수학교습소,20171121,20171121,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,초등,보습,"초등:300000, 중등:400000, 고등:450000",Y,N,인천광역시 강화군 강화읍 강화대로 405-2,", 3층 (강화읍)",23035,,20231018
E10,인천광역시교육청,강화군,교습소,3000016238,수학공간교습소,20201112,20201110,개원,        ,99991231,20,4,입시.검정 및 보습,보통교과,초등수학2,보습,"초등수학2:200000, 초등수학3:250000, 중등수학1:230000, 중등수학2:300000, 초등수학1:150000",Y,N,인천광역시 강화군 강화읍 북문길 3,", 2층 일부 (강화읍, 청운서림)",23032,,20231018
E10,인천광역시교육청,강화군,교습소,3000024201,수학의숲중등수학교습소,20251016,20251016,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,인천광역시 강화군 선원면 중앙로 162-31,서희근린상가 201동 3호 중 일부,23041,,20251019
E10,인천광역시교육청,강화군,교습소,3000022331,신나는미술나라미술교습소,20231110,20231110,개원,        ,        ,0,5,예능(대),예능(중),미술1,미술,"미술1:120000, 미술2:80000",Y, ,인천광역시 강화군 선원면 중앙로 108,1층,23041,032-934-9330,20250615
E10,인천광역시교육청,강화군,교습소,4743,아름음악교습소,19970312,19900312,개원,        ,99991231,15,5,예능(대),예능(중),고급2,음악,"고급2:190000, 초급:160000, 중급:170000, 고급:180000",Y,N,인천광역시 강화군 강화읍 강화대로248번길 29,", 1층 (강화읍)",23025,032-934-3297,20250330
E10,인천광역시교육청,강화군,교습소,3000016155,영어원서교실 영어교습소,20200918,20200918,개원,        ,99991231,9,9,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:210000, 중등영어:230000",Y,N,인천광역시 강화군 선원면 중앙로 274-2,", 203호 (선원면, 창리피아노)",23040,,20250601
E10,인천광역시교육청,강화군,교습소,3000017983,원수학교습소,20230331,20230321,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,중등구학(A),보습,"중등구학(A):230000, 교과수학1:220000, 교과수학2:140000, 교과수학3:93000, 사고력수학:70000, 사고력+교과1:110000, 사고력+교과2:160000",Y,N,인천광역시 강화군 강화읍 갑룡길 83,", 2층 (강화읍)",23025,null,20260405
E10,인천광역시교육청,강화군,교습소,3000023555,제니쌤 영어교습소,20241122,20241122,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,인천광역시 강화군 강화읍 강화대로 424-1,2층,23031,,20250615
E10,인천광역시교육청,강화군,교습소,3000024126,줄리쌤 영어교습소,20250822,20250822,개원,        ,        ,0,9,국제화,외국어,영어회화(초등),실용외국어(유아/초·중·고),"영어회화(초등):230000, 영어회화(중등):300000",Y, ,인천광역시 강화군 강화읍 강화대로248번길 23,3층 일부,23025,,20250907
E10,인천광역시교육청,강화군,교습소,3000026198,캉스영어교습소,20251114,20251114,개원,        ,        ,0,4,입시.검정 및 보습,,,, ,Y, ,인천광역시 강화군 강화읍 갑룡길73번길 2,2층,23024,,20251214
E10,인천광역시교육청,강화군,교습소,3000014910,코드앤코딩교습소,20180725,20180725,개원,        ,99991231,15,5,기타(대),기타(중),창의코딩(기초),기타(소), ,Y,N,인천광역시 강화군 강화읍 갑룡길 83,", 2층 일부 (강화읍)",23025,,20251221
E10,인천광역시교육청,강화군,교습소,3000010808,톡톡수학교습소,20120501,20120501,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등수학1,보습,"초등수학1:180000, 초등수학2:280000, 중등수학:200000, 중등수학1:300000, 중등수학2:150000, 중등수학3:230000",Y,N,인천광역시 강화군 길상면 온수길36번길 7-5,(길상면),23050,032-937-3959,20231231
E10,인천광역시교육청,강화군,교습소,3000010807,톡톡실용영어교습소,20120501,20120501,개원,        ,99991231,9,9,국제화,외국어,영어1,실용외국어(유아/초·중·고),"영어1:180000, 영어2:280000, 영어3:200000, 영어4:300000, 영어5:150000, 영어6:230000",Y,N,인천광역시 강화군 길상면 온수길36번길 5-1,(길상면),23050,032-937-3959,20231231
E10,인천광역시교육청,강화군,교습소,10578,한마음바둑교습소,20100607,20100607,개원,        ,99991231,9,9,기타(대),기타(중),바둑(초등),바둑, ,Y,N,인천광역시 강화군 강화읍 북문길 33,(강화읍),23029,032-934-2131,20231018
E10,인천광역시교육청,강화군,교습소,9547,한솔플러스수학교습소,20090529,20090529,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:180000, 중등수학:230000, 고등수학:320000",Y,N,인천광역시 강화군 선원면 중앙로 248,", 2층 (선원면)",23041,017-269-9593,20231018
E10,인천광역시교육청,강화군,학원,3000010565,강화필학원,20111230,20111230,개원,        ,99991231,85,85,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 동문안길 24,201호,23031,032-934-3365,20260426
E10,인천광역시교육청,강화군,학원,3000012558,계명의숙학원,20150301,20150226,개원,        ,99991231,768,64,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로248번길 28-2,", 1층일부 (강화읍)",23025,032-933-9566,20250216
E10,인천광역시교육청,강화군,학원,8482,꼼꼼보습학원,20080303,20080303,개원,        ,99991231,75,74,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로248번길 28-2,", 2층202호 (강화읍)",23025,032-933-4843,20231018
E10,인천광역시교육청,강화군,학원,1000000059,꿈피아노학원,19930621,19930621,개원,        ,99991231,40,47,예능(대),예능(중),음악,음악, ,Y,N,인천광역시 강화군 강화읍 북문길 34,"(강화읍,정란피아노)",23030,032-933-0421,20260308
E10,인천광역시교육청,강화군,학원,3000012665,나스영어전문학원,20150416,20150415,개원,        ,99991231,240,63,입시.검정 및 보습,보통교과,"보습,",보습, ,Y,N,인천광역시 강화군 강화읍 강화대로440번길 5,", 2층전체 (강화읍)",23032,032-934-1001,20231018
E10,인천광역시교육청,강화군,학원,1000000114,대한영어보습학원,19980218,19980218,개원,        ,99991231,720,80,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로 429,", 3층 일부 (강화읍,중앙시장)",23033,032-933-0408,20260308
E10,인천광역시교육청,강화군,학원,3000024046,레스트뮤직실용음악학원,20250728,20250728,개원,        ,        ,47,47,예능(대),,,, ,Y,N,인천광역시 강화군 강화읍 강화대로 389,2층,23035,,20251214
E10,인천광역시교육청,강화군,학원,3000015300,매쓰월드학원,20190312,20190312,개원,        ,99991231,13,50,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로 329-1,", 3층 (강화읍)",23027,032-933-4832,20231018
E10,인천광역시교육청,강화군,학원,9236,빈센트미술피아노학원,20001213,20001213,개원,        ,99991231,70,86,예능(대),,,, ,Y,N,인천광역시 강화군 강화읍 강화대로 429,", 중앙시장 A동 3층 (강화읍)",23033,032-932-6954,20250202
E10,인천광역시교육청,강화군,학원,3000026305,사유와공감수학학원,20260106,20260106,개원,        ,        ,0,60,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 북문길 34,2층,23030,,20260201
E10,인천광역시교육청,강화군,학원,1000000102,서울GoldenBell피아노학원,19970630,19970630,개원,        ,99991231,424,96,종합(대),,"보습,음악",, ,Y,N,인천광역시 강화군 강화읍 갑룡길 76-17,(강화읍),23025,032-934-0895,20260201
E10,인천광역시교육청,강화군,학원,8728,선율종합학원,20080602,20080602,개원,        ,99991231,656,82,입시.검정 및 보습,보통교과,"보습,",보습, ,N,N,인천광역시 강화군 길상면 삼랑성길 3,"(길상면, 김정순미용실)",23050,032-937-3766,20260215
E10,인천광역시교육청,강화군,학원,3000026179,셀라드럼학원,20251112,20251112,개원,        ,        ,0,0,기예(대),,,, ,Y,N,인천광역시 강화군 송해면 대월로 277, ,23019,,20251116
E10,인천광역시교육청,강화군,학원,1000000095,솔터학원,20101211,19970924,개원,        ,99991231,450,50,입시.검정 및 보습,보통교과,,보습, ,N,N,인천광역시 강화군 강화읍 강화대로 429,", 중앙시장 A동 3층 일부 (강화읍,중앙시장)",23033,032-934-9526,20231018
E10,인천광역시교육청,강화군,학원,3000023303,스쿨오브락실용음악학원,20240710,20240710,개원,        ,        ,0,32,기예(대),기예(중),실용음악(성악),실용음악(성악), ,Y, ,인천광역시 강화군 선원면 대문고개로 145,2층,23041,,20250615
E10,인천광역시교육청,강화군,학원,1000000002,심포니피아노학원,20001206,20001206,개원,        ,99991231,40,10,예능(대),예능(중),음악,음악, ,Y,N,인천광역시 강화군 강화읍 북문길9번길 7,(강화읍),23032,032-933-2531,20231105
E10,인천광역시교육청,강화군,학원,1000000021,엘리트학원,20020624,20020624,개원,        ,99991231,63,63,입시.검정 및 보습,보통교과,"보습,",보습, ,Y,N,인천광역시 강화군 강화읍 북문길 17,", (1층,2층) (강화읍,엘리트피아노학원)",23032,032-933-2625,20260201
E10,인천광역시교육청,강화군,학원,1000000073,영어수학의정원학원,19960521,19960521,개원,        ,99991231,67,67,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로248번길 28-3,2층,23025,032-933-4181,20250216
E10,인천광역시교육청,강화군,학원,7863,예일YT어학원,20070427,20070427,개원,        ,99991231,992,124,종합(대),,"보습,실용외국어(유아/초·중·고)",, ,Y,N,인천광역시 강화군 강화읍 강화대로248번길 29,(강화읍),23025,032-933-9858,20251130
E10,인천광역시교육청,강화군,학원,10702,오쌤학원,20100827,20100827,개원,        ,99991231,243,81,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 강화군 강화읍 북문길9번길 5,"(강화읍,은혜교육센터)",23032,032-933-8970,20231018
E10,인천광역시교육청,강화군,학원,3000013993,윙스(Wings)어학원,20170403,20170327,개원,        ,99991231,65,65,국제화,외국어,실용외국어(유아/초·중·고),실용외국어(유아/초·중·고), ,Y,N,인천광역시 강화군 강화읍 갑룡길 83,", 2층 일부 (강화읍)",23036,null,20250316
E10,인천광역시교육청,강화군,학원,3000023395,윙스국어학원,20240907,20240906,개원,        ,        ,0,62,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 갑룡길 83,2층 일부,23025,,20250615
E10,인천광역시교육청,강화군,학원,3000018071,윙스학원,20230510,20230508,개원,        ,99991231,372,106,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,인천광역시 강화군 강화읍 동문안길 24," 2층 202,203호, 1층 102호",23031,032-934-3226,20260426
E10,인천광역시교육청,강화군,학원,3000017965,이가음악학원,20230320,20230315,개원,        ,99991231,105,31,예능(대),예능(중),,음악, ,Y,N,인천광역시 강화군 강화읍 갑룡길 69,", 2층 201호 (강화읍, 대한검도)",23024,null,20260201
E10,인천광역시교육청,강화군,학원,3000014058,이음피아노음악학원,20170510,20170424,개원,        ,99991231,32,48,예능(대),예능(중),"음악,",음악, ,Y,N,인천광역시 강화군 강화읍 강화대로248번길 21,", 1층 (강화읍)",23025,,20250615
E10,인천광역시교육청,강화군,학원,3000026419,인터아카데미학원,20260401,20260224,개원,        ,        ,480,584,종합(대),,"보습,외국어",, ,Y,N,인천광역시 강화군 길상면 전등사로 77,C동,23050,,20260315
E10,인천광역시교육청,강화군,학원,3000026331,정결한수학학원,20260115,20260115,개원,        ,        ,82,86,입시.검정 및 보습,,,, ,Y,N,인천광역시 강화군 강화읍 동문로 77, ,23022,,20260201
E10,인천광역시교육청,강화군,학원,3000010535,제이온음악학원,20111209,20111209,개원,        ,99991231,138,23,예능(대),예능(중),"음악,",음악, ,Y,N,인천광역시 강화군 강화읍 갑룡길 89,(강화읍),23024,032-933-8003,20231018
E10,인천광역시교육청,강화군,학원,9695,지엠음악학원,20090730,20090730,개원,        ,99991231,84,21,예능(대),예능(중),음악,음악, ,Y,N,인천광역시 강화군 강화읍 갑룡길 83,", 1층 일부 (강화읍)",23036,032-932-6934,20250309
E10,인천광역시교육청,강화군,학원,9012,청출어람마스터클럽학원,20080916,20080916,개원,        ,99991231,168,126,종합(대),,"보습,보통교과,실용외국어(유아/초·중·고)",, ,Y,N,인천광역시 강화군 강화읍 갑룡길 77,", 2층 (강화읍)",23024,032-934-1050,20260201
E10,인천광역시교육청,강화군,학원,1000000051,칸타빌레음악학원,19931005,19931005,개원,        ,99991231,132,33,예능(대),예능(중),"음악,",음악, ,Y,N,인천광역시 강화군 길상면 온수길 32,", 2층 (길상면)",23050,032-937-7633,20231018
E10,인천광역시교육청,강화군,학원,10462,칸타타음악학원,20100322,20100322,개원,        ,99991231,180,20,예능(대),예능(중),음악,음악, ,Y,N,인천광역시 강화군 강화읍 북문길 7-1,", 2층 (강화읍)",23032,032-933-8976,20251019
E10,인천광역시교육청,강화군,학원,3000026262,플레로비전어학원,20251212,20251212,개원,        ,        ,0,78,국제화,외국어,실용외국어(유아/초·중·고),실용외국어(유아/초·중·고), ,Y,N,인천광역시 강화군 선원면 더리미길 4,1층,23042,,20260531
E10,인천광역시교육청,강화군,학원,3000012731,피니쉬학원,20150601,20150601,개원,        ,99991231,20,70,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로 464,", 2층 전체 (강화읍, 아이비클럽)",23032,070-8112-0351,20231018
E10,인천광역시교육청,강화군,학원,5855,피아노치는고양이음악학원,20050331,20050331,개원,        ,99991231,40,10,예능(대),예능(중),,음악, ,Y,N,인천광역시 강화군 선원면 중앙로 274-2,", 세광1차아파트 상가309,310호 (선원면)",23040,032-933-8386,20250615
E10,인천광역시교육청,강화군,학원,5823,학사모아카데미학원,20050319,20050319,개원,        ,99991231,860,86,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 강화군 강화읍 강화대로 387,", 4층 (강화읍, 이레빌딩)",23035,032-932-2741,20260201
E10,인천광역시교육청,강화군,학원,3000017029,한양글로벌어학원,20220221,20220215,개원,        ,99991231,1281,61,국제화,외국어,실용외국어(유아/초·중·고),실용외국어(유아/초·중·고), ,Y,N,인천광역시 강화군 강화읍 강화대로 306,", 2층 (강화읍, 태능숯불갈비)",23025,,20260315
E10,인천광역시교육청,강화군,학원,1000000117,한양음악전문학원,19980323,19980323,개원,20200331,20210331,24,24,예능(대),예능(중),,음악, ,Y,N,인천광역시 강화군 강화읍 갑룡길 59,", 삼영빌딩A동 3층 (강화읍,삼영빌딩)",23024,032-933-1709,20231018
E10,인천광역시교육청,강화군,학원,10939,휴먼어학원,20101203,20101203,개원,        ,99991231,167,167,종합(대),외국어,"보습,실용외국어(유아/초·중·고)",외국어, ,Y,N,인천광역시 강화군 강화읍 강화대로404번길 7,"(그랑프리) 2층 204, 205호",23031,032-933-8818,20251109
E10,인천광역시교육청,계양구,교습소,3000023012,BEST수학교습소,20170727,20170727,개원,        ,99991231,60,5,입시.검정 및 보습,보통교과,초등 수학1,보습,"초등 수학1:180000, 초등 심화수학:200000, 중등 수학3:230000, 중등 수학4:250000, 중등 수학5:260000, 초등수학 2:130000, 중등 수학6:180000, 고등수학1:300000, 중등수학 심화:400000, 고등수학 문과:320000, 고등수학 이과:330000, 고등수학2:350000",Y,N,인천광역시 계양구 길마로 70,", 상가동 307호 (효성동, 현대1차아파트)",21095,null,20240310
E10,인천광역시교육청,계양구,교습소,3000023053,J수학교습소,20221228,20221228,개원,        ,99991231,18,3,입시.검정 및 보습,보통교과,초등,보습,"초등:280000, 중등:290000, 고등:390000",Y,N,인천광역시 계양구 계산새로 93,", 803-1호 (용종동, 밀레니엄프라자)",21065,,20250601
E10,인천광역시교육청,계양구,교습소,3000026255,J포레뮤직앤피아노음악교습소,20251217,20251217,개원,        ,        ,0,9,예능(대),,,, ,Y, ,인천광역시 계양구 안남로489번길 17,B-207호 (효성동),21105,,20251221
E10,인천광역시교육청,계양구,교습소,3000023101,M수학교습소,20240325,20240325,개원,        ,        ,0,3,입시.검정 및 보습,보통교과,초등수학(1-2),보습,"초등수학(1-2):150000, 초등수학(3-4):200000, 초등수학(5-6):230000, 중등수학(1-3):250000",Y, ,인천광역시 계양구 용종로 124,", 본상가동 2층 201호 (병방동,학마을한진아파트)",21036,032-5552-4145,20251221
E10,인천광역시교육청,계양구,교습소,3000017516,UC에듀수학교습소,20220923,20220923,개원,        ,99991231,42,7,입시.검정 및 보습,보통교과,초등,보습,"초등:250000, 중등:300000, 고등A:320000, 고등B:400000, 초등초급A:230000, 초등초급B:180000, 초등초급C:230000, 초등초급D:230000, 중등중급A:240000, 중등중급B:240000, 중등중급C:330000, 초등초급E:220000",Y,N,인천광역시 서구 이음5로 62,", 503호 (원당동, 정인프라자)",22865,,20240908
E10,인천광역시교육청,계양구,교습소,3000024179,계산은행마을점스마트해법멘토수학교습소,20250930,20250930,개원,        ,        ,0,4,입시.검정 및 보습,,,, ,Y, ,인천광역시 계양구 계산새로 110,209호 (계산동),21070,,20250928
E10,인천광역시교육청,계양구,교습소,3000023898,계양NE능률영어교습소,20250519,20250519,개원,        ,        ,0,5,입시.검정 및 보습,보통교과,초등영어A,보습,"초등영어A:220000, 초등영어B:230000, 초등영어C:240000, 초등영어D:260000, 중등영어1:260000, 중등영어2:280000, 중등영어3:300000",Y, ,인천광역시 계양구 장제로 933,204호 (방축동),21026,,20260419
E10,인천광역시교육청,계양구,교습소,3000022978,계양미대가기미술교습소,20120321,20120321,개원,        ,99991231,28,7,예능(대),예능(중),미술(유초등),미술,"미술(유초등):160000, 미술(유초등):140000, 미술(중고등):200000, 미술(입시):930000",Y,N,인천광역시 계양구 주부토로472번길 34,", 201호일부 (작전동, 삼보아파트 상가동)",21084,032-543-0090,20240310
E10,인천광역시교육청,계양구,교습소,3000022971,계양아마빌레피아노교습소,20081113,20081113,개원,        ,99991231,20,5,예능(대),예능(중),바이엘,음악,"바이엘:150000, 체르니100:160000, 체르니30:170000, 체르니40이상:170000",Y,N,인천광역시 계양구 장기로 24,", 루디아빌딩 2층 (장기동,루디아빌딩)",407470,null,20260315
E10,인천광역시교육청,계양구,교습소,3000023935,계양플라톤독서토론논술교습소,20250605,20250605,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,M플라톤,보습·논술,"M플라톤:150000, 논술캠프1:98000, 논술캠프2:103000, 토론캠프1:88000, 토론캠프2:93000, 독서캠프1:88000, 독서캠프2:88000, (논술)베이스캠프:83000, (논술)역사하기:100000, (논술)고전:100000, (논술)말하는 한국사:100000, (논술)글쓰기 특강:100000, (논술)한자:45000, (논술)문법특강:100000",Y, ,인천광역시 계양구 계산새로 110,210호 (계산동),21070,,20260315
E10,인천광역시교육청,계양구,교습소,3000023052,고트영어교습소,20221117,20221117,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 계양구 오조산로45번길 3,", 603호 (계산동, 유진빌딩)",21069,null,20240310
E10,인천광역시교육청,계양구,교습소,3000023031,공감실용음악교습소,20200903,20200903,개원,        ,99991231,36,9,예능(대),예능(중),"음악(드럼, 기타, 우쿨렐레, 피아노)초급",음악,"음악(드럼, 기타, 우쿨렐레, 피아노)초급:150000, 음악(드럼, 기타, 우쿨렐레, 피아노)중급:160000, 음악(드럼, 기타, 우쿨렐레, 피아노)고급:180000",Y,N,인천광역시 계양구 병방로 14,", 203호 일부 (병방동, 학마을서원아파트상가동)",21035,null,20251026
E10,인천광역시교육청,계양구,교습소,3000028160,공명수학교습소,20260611,20260611,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,인천광역시 계양구 계양대로34번길 5,", 201호(작전동,하늘빌리지)",21120,,20260614
E10,인천광역시교육청,계양구,교습소,3000023105,교습소등록(테스트용),20240327,20240327,개원,        ,        ,0,0,국제화,,,, ,Y, ,인천광역시 계양구 용종로 8,테스트용 (계산동),21071,,20260201
E10,인천광역시교육청,계양구,교습소,3000023062,그도애창작미술교습소,20230907,20230907,개원,        ,        ,0,9,예능(대),예능(중),유치/초등·저,미술,"유치/초등·저:164000, 초등·고:218000, 예중입시(초4):450000, 예중입시(초5):500000, 예중입시(초6):550000, 예고입시(중1):600000, 예고입시(중2):650000, 예고입시(중3):700000, 미대입시(고1):750000, 미대입시(고2):800000, 미대입시(고3):850000, 성인미술:328000",Y, ,인천광역시 계양구 오조산로 91,"502호(용종동,새롬2차프라자)",21065,,20260308
E10,인천광역시교육청,계양구,교습소,3000023915,그림뜰미술교습소,20250527,20250527,개원,        ,        ,0,6,예능(대),,,, ,Y, ,인천광역시 계양구 용종로 30,120호 (계산동),21071,,20250601
